Name,Category,Dosage Form,Strength,Manufacturer,Indication,Classification,,Manufactured Date,Expiry Date
Cefprofen,Antiseptic,Inhaler,197 mg,Teva Pharmaceutical Industries Ltd.,Fever,Prescription,,2020-02-24,2022-04-27
Dextronazole,Antibiotic,Ointment,640 mg,"Merck & Co., Inc.",Virus,Prescription,,2021-11-09,2024-08-25
Clarimycin,Antidiabetic,Drops,688 mg,Roche Holding AG,Fever,Over-the-Counter,,2022-09-01,2025-08-06
Dextrostatin,Antibiotic,Ointment,77 mg,Takeda Pharmaceutical Company Limited,Depression,Over-the-Counter,,2025-07-10,2027-07-02
Dextromet,Antidiabetic,Injection,174 mg,Eli Lilly and Company,Diabetes,Prescription,,2023-04-03,2026-02-08
Claristatin,Antibiotic,Ointment,436 mg,AstraZeneca plc,Fever,Over-the-Counter,,2025-01-03,2026-01-26
Amoxiprofen,Antiviral,Ointment,837 mg,Bayer AG,Depression,Over-the-Counter,,2024-06-27,2026-09-03
Amoximycin,Antipyretic,Tablet,954 mg,Teva Pharmaceutical Industries Ltd.,Wound,Prescription,,2021-12-09,2023-07-11
Cefnazole,Antidepressant,Drops,754 mg,Roche Holding AG,Infection,Prescription,,2022-10-25,2024-10-22
Amoxivir,Antiviral,Inhaler,308 mg,Teva Pharmaceutical Industries Ltd.,Depression,Over-the-Counter,,2022-05-14,2024-08-22
Cefvir,Antiseptic,Drops,908 mg,Amgen Inc.,Diabetes,Prescription,,2021-03-09,2022-10-30
Amoxivir,Antidiabetic,Ointment,861 mg,"Merck & Co., Inc.",Fever,Prescription,,2022-08-13,2023-12-13
Metocillin,Antipyretic,Cream,935 mg,Amgen Inc.,Wound,Prescription,,2024-03-25,2026-10-13
Dextrovir,Antifungal,Syrup,920 mg,Bayer AG,Fungus,Over-the-Counter,,2025-06-17,2028-02-04
Dolovir,Antipyretic,Syrup,606 mg,Roche Holding AG,Wound,Over-the-Counter,,2023-05-21,2025-08-27
Metostatin,Antibiotic,Syrup,248 mg,Boehringer Ingelheim GmbH,Wound,Over-the-Counter,,2022-12-22,2024-03-08
Amoxinazole,Antifungal,Cream,265 mg,"Merck & Co., Inc.",Wound,Over-the-Counter,,2023-04-07,2025-11-30
Ibupronazole,Antifungal,Drops,644 mg,Johnson & Johnson,Infection,Over-the-Counter,,2022-12-31,2024-11-27
Amoxicillin,Antidiabetic,Cream,483 mg,Teva Pharmaceutical Industries Ltd.,Wound,Over-the-Counter,,2024-09-19,2026-05-24
Metophen,Antipyretic,Syrup,980 mg,Johnson & Johnson,Wound,Prescription,,2025-01-18,2027-09-23
Acetoprofen,Antidepressant,Drops,58 mg,"Merck & Co., Inc.",Infection,Over-the-Counter,,2025-07-14,2027-06-15
Amoxivir,Antidiabetic,Syrup,826 mg,Novo Nordisk A/S,Wound,Over-the-Counter,,2025-01-07,2026-03-20
Metostatin,Antibiotic,Ointment,649 mg,Biogen Inc.,Infection,Over-the-Counter,,2020-09-07,2023-02-14
Metonazole,Antiseptic,Injection,868 mg,Biogen Inc.,Depression,Over-the-Counter,,2023-09-29,2026-09-03
Ibupromet,Antifungal,Capsule,337 mg,AbbVie Inc.,Diabetes,Prescription,,2023-06-21,2025-02-08
Dolonazole,Antidepressant,Cream,459 mg,Teva Pharmaceutical Industries Ltd.,Diabetes,Prescription,,2020-11-26,2022-06-01
Acetophen,Antiviral,Injection,733 mg,Bristol-Myers Squibb Company,Fungus,Over-the-Counter,,2020-05-05,2022-02-05
Dextromycin,Analgesic,Capsule,513 mg,Eli Lilly and Company,Infection,Prescription,,2021-11-24,2024-01-16
Ibuproprofen,Antiviral,Syrup,264 mg,GlaxoSmithKline plc,Pain,Over-the-Counter,,2023-12-24,2026-06-17
Metophen,Antiviral,Capsule,745 mg,Eli Lilly and Company,Pain,Over-the-Counter,,2020-07-13,2022-09-08
Cefmycin,Antiseptic,Capsule,543 mg,Sanofi S.A.,Fever,Prescription,,2021-12-14,2023-01-07
Amoximycin,Antidiabetic,Cream,110 mg,Boehringer Ingelheim GmbH,Fungus,Over-the-Counter,,2020-10-25,2022-12-26
Dextroprofen,Analgesic,Ointment,797 mg,"Gilead Sciences, Inc.",Depression,Over-the-Counter,,2023-02-03,2024-08-07
Dextrocillin,Antiseptic,Drops,751 mg,Bayer AG,Diabetes,Over-the-Counter,,2020-04-29,2022-04-18
Cefmet,Antidepressant,Cream,446 mg,Novartis AG,Virus,Over-the-Counter,,2024-02-09,2025-06-21
Amoxinazole,Analgesic,Syrup,582 mg,Novo Nordisk A/S,Pain,Over-the-Counter,,2020-08-30,2022-01-07
Metophen,Antidiabetic,Drops,487 mg,Takeda Pharmaceutical Company Limited,Diabetes,Over-the-Counter,,2020-01-05,2021-04-25
Amoxinazole,Antibiotic,Syrup,372 mg,Amgen Inc.,Pain,Prescription,,2022-10-24,2025-07-25
Cefmet,Analgesic,Syrup,559 mg,GlaxoSmithKline plc,Depression,Prescription,,2023-09-11,2025-11-01
Dextrophen,Antiseptic,Cream,474 mg,Bristol-Myers Squibb Company,Wound,Prescription,,2024-09-06,2027-04-05
Metomycin,Antiseptic,Inhaler,302 mg,Sanofi S.A.,Fever,Over-the-Counter,,2025-07-06,2026-07-31
Dextronazole,Antiviral,Capsule,256 mg,"Gilead Sciences, Inc.",Depression,Prescription,,2020-06-04,2022-11-15
Cefmet,Antifungal,Injection,41 mg,Novartis AG,Pain,Over-the-Counter,,2024-09-21,2027-06-28
Clarimet,Antiseptic,Inhaler,978 mg,Takeda Pharmaceutical Company Limited,Infection,Over-the-Counter,,2024-11-25,2027-11-09
Dextronazole,Antipyretic,Injection,190 mg,Amgen Inc.,Diabetes,Prescription,,2023-01-08,2025-07-12
Ibuprophen,Antipyretic,Ointment,83 mg,CSL Limited,Wound,Over-the-Counter,,2020-04-08,2021-05-07
Acetoprofen,Antipyretic,Tablet,451 mg,AbbVie Inc.,Diabetes,Over-the-Counter,,2021-11-16,2024-06-27
Ibuproprofen,Antiviral,Capsule,723 mg,Eli Lilly and Company,Infection,Prescription,,2023-04-13,2025-01-23
Cefmycin,Antiviral,Drops,378 mg,Teva Pharmaceutical Industries Ltd.,Pain,Over-the-Counter,,2021-04-07,2023-06-22
Dextrostatin,Antiviral,Cream,807 mg,Pfizer Inc.,Pain,Prescription,,2022-07-18,2024-09-28
Acetophen,Antibiotic,Inhaler,973 mg,CSL Limited,Fever,Over-the-Counter,,2020-08-23,2022-02-02
Dolomet,Antiviral,Drops,101 mg,Johnson & Johnson,Fever,Prescription,,2024-10-23,2026-09-22
Amoxivir,Antidiabetic,Syrup,29 mg,AstraZeneca plc,Depression,Prescription,,2022-02-23,2024-04-11
Dextromycin,Antiviral,Ointment,894 mg,"Gilead Sciences, Inc.",Infection,Prescription,,2023-07-11,2026-01-20
Metonazole,Antipyretic,Drops,144 mg,Bayer AG,Diabetes,Over-the-Counter,,2023-09-18,2026-04-29
Ibupromycin,Antipyretic,Capsule,885 mg,Sanofi S.A.,Infection,Prescription,,2022-07-11,2025-03-24
Cefvir,Antipyretic,Cream,578 mg,Eli Lilly and Company,Fungus,Prescription,,2024-12-13,2026-11-20
Dextroprofen,Analgesic,Capsule,878 mg,GlaxoSmithKline plc,Wound,Prescription,,2022-09-07,2024-06-15
Metonazole,Antibiotic,Drops,92 mg,AstraZeneca plc,Virus,Prescription,,2022-02-27,2024-02-25
Metocillin,Antiviral,Tablet,597 mg,CSL Limited,Depression,Prescription,,2024-05-04,2026-01-12
Dextronazole,Antidepressant,Inhaler,594 mg,GlaxoSmithKline plc,Infection,Over-the-Counter,,2024-07-19,2026-10-08
Doloprofen,Antibiotic,Capsule,684 mg,CSL Limited,Depression,Over-the-Counter,,2022-05-31,2025-02-26
Cefmet,Antifungal,Syrup,928 mg,Biogen Inc.,Wound,Prescription,,2020-04-06,2022-05-08
Clarimet,Antidiabetic,Tablet,917 mg,Bristol-Myers Squibb Company,Pain,Prescription,,2024-09-07,2026-02-24
Amoxiphen,Analgesic,Ointment,225 mg,Boehringer Ingelheim GmbH,Pain,Prescription,,2025-02-23,2026-09-13
Ibuprocillin,Analgesic,Syrup,886 mg,CSL Limited,Pain,Prescription,,2024-07-16,2026-11-13
Ibupronazole,Antidiabetic,Inhaler,506 mg,Johnson & Johnson,Depression,Over-the-Counter,,2020-02-09,2022-11-10
Acetophen,Antidepressant,Ointment,90 mg,GlaxoSmithKline plc,Infection,Over-the-Counter,,2021-12-09,2023-09-14
Amoxistatin,Antidepressant,Injection,474 mg,Novo Nordisk A/S,Virus,Prescription,,2021-09-12,2023-10-20
Dextromycin,Antibiotic,Syrup,898 mg,Bayer AG,Pain,Prescription,,2023-09-13,2025-12-11
Ibupromycin,Antidiabetic,Ointment,589 mg,Bristol-Myers Squibb Company,Fungus,Prescription,,2022-05-31,2023-06-07
Cefvir,Antifungal,Tablet,796 mg,"Merck & Co., Inc.",Fever,Prescription,,2024-02-28,2026-03-15
Dolomycin,Antiviral,Tablet,726 mg,Novo Nordisk A/S,Wound,Over-the-Counter,,2024-02-18,2025-03-06
Cefcillin,Antiviral,Cream,582 mg,Bayer AG,Depression,Over-the-Counter,,2025-05-11,2027-09-24
Metomet,Antiseptic,Tablet,644 mg,Bayer AG,Infection,Prescription,,2021-09-10,2023-01-09
Cefmet,Antidiabetic,Tablet,874 mg,AstraZeneca plc,Wound,Prescription,,2020-07-23,2022-11-28
Cefnazole,Antiseptic,Injection,746 mg,Biogen Inc.,Depression,Prescription,,2023-02-11,2024-06-15
Metomet,Antidepressant,Ointment,965 mg,Pfizer Inc.,Infection,Prescription,,2024-05-21,2027-01-05
Dolomet,Antifungal,Inhaler,18 mg,Bristol-Myers Squibb Company,Pain,Over-the-Counter,,2024-04-18,2026-05-19
Cefnazole,Analgesic,Drops,699 mg,Johnson & Johnson,Fever,Over-the-Counter,,2023-04-10,2025-08-10
Dolophen,Antibiotic,Syrup,545 mg,CSL Limited,Diabetes,Prescription,,2020-07-22,2022-09-26
Dolonazole,Antidepressant,Inhaler,831 mg,Takeda Pharmaceutical Company Limited,Infection,Over-the-Counter,,2024-07-29,2026-02-01
Amoxinazole,Antidepressant,Drops,244 mg,Novo Nordisk A/S,Wound,Prescription,,2024-05-08,2025-10-08
Clarivir,Antidepressant,Syrup,387 mg,Novartis AG,Diabetes,Prescription,,2021-10-15,2023-02-15
Dolovir,Antifungal,Drops,699 mg,"Gilead Sciences, Inc.",Pain,Over-the-Counter,,2022-01-19,2023-11-23
Dolomet,Antifungal,Cream,216 mg,"Gilead Sciences, Inc.",Diabetes,Prescription,,2021-08-23,2024-04-20
Ibuprophen,Antiviral,Inhaler,82 mg,Bayer AG,Pain,Over-the-Counter,,2021-12-02,2023-04-02
Acetostatin,Analgesic,Ointment,219 mg,Biogen Inc.,Pain,Over-the-Counter,,2021-07-02,2022-09-10
Amoxinazole,Analgesic,Drops,279 mg,Biogen Inc.,Fungus,Over-the-Counter,,2023-06-06,2024-09-16
Metostatin,Antidiabetic,Syrup,802 mg,AbbVie Inc.,Wound,Over-the-Counter,,2025-03-07,2028-01-01
Cefnazole,Antibiotic,Ointment,134 mg,"Merck & Co., Inc.",Infection,Over-the-Counter,,2022-08-10,2024-08-14
Amoxiphen,Antidepressant,Injection,203 mg,Roche Holding AG,Pain,Over-the-Counter,,2023-09-20,2026-07-23
Cefmycin,Antiseptic,Drops,781 mg,Boehringer Ingelheim GmbH,Wound,Prescription,,2023-12-12,2025-05-20
Amoxivir,Antibiotic,Capsule,32 mg,AbbVie Inc.,Pain,Prescription,,2021-02-18,2024-01-10
Ibupromycin,Antiviral,Ointment,510 mg,Novartis AG,Fever,Over-the-Counter,,2025-01-01,2027-11-11
Dolonazole,Antidiabetic,Inhaler,530 mg,Bristol-Myers Squibb Company,Infection,Prescription,,2021-12-28,2024-01-19
Dolocillin,Analgesic,Capsule,304 mg,Biogen Inc.,Wound,Prescription,,2022-03-13,2024-04-27
Acetonazole,Antiseptic,Inhaler,653 mg,Eli Lilly and Company,Infection,Prescription,,2024-10-10,2025-12-02
Amoxiphen,Antidepressant,Syrup,162 mg,Roche Holding AG,Pain,Over-the-Counter,,2020-11-23,2023-02-17
Dextromycin,Antiviral,Capsule,901 mg,Bayer AG,Depression,Prescription,,2025-06-16,2027-12-28
Dextroprofen,Antifungal,Cream,243 mg,Boehringer Ingelheim GmbH,Diabetes,Prescription,,2021-10-17,2024-07-23
Dextronazole,Antiseptic,Injection,197 mg,"Gilead Sciences, Inc.",Pain,Over-the-Counter,,2021-01-22,2022-06-03
Acetostatin,Antifungal,Capsule,577 mg,Johnson & Johnson,Diabetes,Over-the-Counter,,2024-02-11,2025-07-05
Dolomet,Antiviral,Injection,696 mg,Takeda Pharmaceutical Company Limited,Fungus,Prescription,,2023-03-16,2024-07-23
Dolomycin,Antidiabetic,Inhaler,664 mg,Novo Nordisk A/S,Wound,Prescription,,2021-05-21,2023-05-09
Doloprofen,Antidiabetic,Cream,274 mg,Bristol-Myers Squibb Company,Fungus,Prescription,,2023-01-02,2025-09-26
Dextrovir,Antiviral,Syrup,154 mg,Takeda Pharmaceutical Company Limited,Fever,Over-the-Counter,,2023-11-29,2026-04-25
Ibupromycin,Antidepressant,Injection,55 mg,"Gilead Sciences, Inc.",Depression,Prescription,,2024-09-09,2025-11-12
Ibupromycin,Antiviral,Injection,690 mg,Takeda Pharmaceutical Company Limited,Fever,Prescription,,2022-08-18,2024-10-25
Cefprofen,Antifungal,Inhaler,226 mg,Amgen Inc.,Diabetes,Prescription,,2022-09-26,2023-10-30
Amoxicillin,Antibiotic,Cream,448 mg,Boehringer Ingelheim GmbH,Pain,Over-the-Counter,,2021-11-30,2023-10-23
Ibuprophen,Antipyretic,Injection,769 mg,Novartis AG,Fungus,Over-the-Counter,,2023-02-06,2025-04-08
Dextrostatin,Antidepressant,Drops,52 mg,GlaxoSmithKline plc,Diabetes,Over-the-Counter,,2020-09-01,2022-07-31
Ibupronazole,Antiseptic,Syrup,536 mg,"Gilead Sciences, Inc.",Diabetes,Over-the-Counter,,2021-07-07,2023-04-30
Dextronazole,Antibiotic,Drops,86 mg,CSL Limited,Fever,Prescription,,2020-01-02,2021-04-23
Ibupromet,Antiviral,Inhaler,353 mg,"Gilead Sciences, Inc.",Pain,Over-the-Counter,,2024-04-22,2025-07-24
Metovir,Antidepressant,Cream,537 mg,Eli Lilly and Company,Infection,Over-the-Counter,,2025-06-17,2028-03-03
Dolostatin,Antibiotic,Capsule,971 mg,"Merck & Co., Inc.",Depression,Over-the-Counter,,2023-02-04,2025-07-06
Ibupromet,Antipyretic,Injection,691 mg,AbbVie Inc.,Wound,Over-the-Counter,,2024-01-10,2026-02-09
Acetonazole,Antiviral,Capsule,300 mg,AbbVie Inc.,Wound,Prescription,,2024-09-16,2027-03-03
Metomet,Antidepressant,Capsule,629 mg,Boehringer Ingelheim GmbH,Pain,Over-the-Counter,,2020-07-21,2021-09-15
Dolomycin,Antifungal,Tablet,765 mg,Pfizer Inc.,Fever,Prescription,,2021-10-24,2023-04-14
Clariphen,Antibiotic,Tablet,810 mg,Boehringer Ingelheim GmbH,Fever,Prescription,,2025-06-04,2028-04-27
Amoximet,Antibiotic,Capsule,321 mg,Eli Lilly and Company,Pain,Prescription,,2022-01-02,2023-01-03
Ibupromycin,Antifungal,Drops,374 mg,Eli Lilly and Company,Fever,Prescription,,2025-02-01,2027-05-02
Amoxinazole,Antiviral,Tablet,589 mg,Amgen Inc.,Diabetes,Over-the-Counter,,2021-06-12,2023-09-23
Cefprofen,Antidepressant,Syrup,378 mg,Teva Pharmaceutical Industries Ltd.,Fever,Prescription,,2021-08-24,2022-12-19
Metoprofen,Antidiabetic,Inhaler,974 mg,Amgen Inc.,Diabetes,Over-the-Counter,,2024-02-26,2026-10-13
Dextrovir,Antidepressant,Drops,868 mg,AbbVie Inc.,Depression,Over-the-Counter,,2023-07-13,2026-01-18
Dextrophen,Analgesic,Injection,924 mg,Bayer AG,Pain,Over-the-Counter,,2021-12-11,2024-07-13
Dolomycin,Antiviral,Capsule,130 mg,"Merck & Co., Inc.",Diabetes,Over-the-Counter,,2022-09-19,2025-04-05
Dextronazole,Antibiotic,Inhaler,710 mg,Bristol-Myers Squibb Company,Wound,Prescription,,2023-06-05,2025-10-12
Clarimet,Antifungal,Injection,945 mg,Boehringer Ingelheim GmbH,Virus,Over-the-Counter,,2021-03-04,2023-01-29
Ibupromycin,Antifungal,Injection,795 mg,Pfizer Inc.,Fungus,Prescription,,2021-01-04,2023-05-30
Acetomycin,Antipyretic,Drops,965 mg,Eli Lilly and Company,Diabetes,Over-the-Counter,,2021-05-23,2024-02-22
Ibuprophen,Antidiabetic,Tablet,590 mg,Boehringer Ingelheim GmbH,Fungus,Prescription,,2024-10-19,2026-03-30
Ibuprophen,Antidiabetic,Syrup,458 mg,Pfizer Inc.,Fungus,Over-the-Counter,,2023-08-06,2025-04-12
Metostatin,Antipyretic,Capsule,713 mg,"Gilead Sciences, Inc.",Fungus,Prescription,,2020-09-02,2023-02-20
Clarivir,Antibiotic,Tablet,378 mg,AstraZeneca plc,Fever,Prescription,,2020-10-30,2023-08-04
Metophen,Antipyretic,Tablet,48 mg,Bayer AG,Pain,Prescription,,2024-01-19,2025-12-12
Clarivir,Antiseptic,Ointment,595 mg,Bayer AG,Virus,Prescription,,2024-10-03,2026-01-28
Amoxivir,Antifungal,Cream,245 mg,AstraZeneca plc,Infection,Prescription,,2021-09-08,2023-09-11
Cefcillin,Antiviral,Syrup,193 mg,"Gilead Sciences, Inc.",Fever,Prescription,,2020-12-12,2022-04-05
Clarinazole,Antifungal,Inhaler,950 mg,Bristol-Myers Squibb Company,Diabetes,Prescription,,2021-09-13,2024-06-10
Ibuprostatin,Antifungal,Tablet,123 mg,Roche Holding AG,Depression,Over-the-Counter,,2024-10-31,2026-05-13
Ibuproprofen,Antifungal,Ointment,325 mg,Pfizer Inc.,Fungus,Over-the-Counter,,2023-02-04,2025-10-01
Metophen,Antiviral,Injection,323 mg,Biogen Inc.,Wound,Prescription,,2020-03-03,2023-02-24
Ibuprophen,Antiseptic,Ointment,557 mg,Johnson & Johnson,Depression,Prescription,,2024-06-20,2027-03-20
Dolomycin,Antifungal,Inhaler,693 mg,CSL Limited,Diabetes,Over-the-Counter,,2023-12-17,2025-05-02
Clarivir,Analgesic,Cream,247 mg,"Gilead Sciences, Inc.",Infection,Over-the-Counter,,2020-02-16,2022-12-06
Amoxivir,Antiviral,Capsule,406 mg,Eli Lilly and Company,Depression,Prescription,,2024-07-22,2026-05-13
Clariphen,Antipyretic,Ointment,857 mg,Takeda Pharmaceutical Company Limited,Pain,Prescription,,2021-10-28,2023-01-10
Amoxicillin,Antidepressant,Syrup,386 mg,Novartis AG,Virus,Prescription,,2023-01-22,2024-02-05
Amoximet,Antipyretic,Drops,313 mg,Novartis AG,Virus,Over-the-Counter,,2022-06-18,2024-06-23
Acetovir,Analgesic,Capsule,39 mg,AbbVie Inc.,Pain,Over-the-Counter,,2025-07-18,2026-12-20
Clariprofen,Antipyretic,Tablet,3 mg,Roche Holding AG,Depression,Over-the-Counter,,2022-10-20,2023-11-23
Metostatin,Antipyretic,Cream,773 mg,CSL Limited,Fungus,Prescription,,2022-02-10,2024-07-12
Dolostatin,Antipyretic,Cream,937 mg,AstraZeneca plc,Pain,Over-the-Counter,,2021-04-01,2022-09-29
Amoxivir,Antiseptic,Capsule,210 mg,Takeda Pharmaceutical Company Limited,Diabetes,Prescription,,2020-02-11,2021-07-29
Amoximycin,Antipyretic,Injection,234 mg,Biogen Inc.,Infection,Prescription,,2022-01-06,2024-05-16
Dextroprofen,Antiseptic,Injection,169 mg,CSL Limited,Wound,Over-the-Counter,,2024-03-05,2025-12-23
Clariprofen,Antiseptic,Cream,174 mg,GlaxoSmithKline plc,Fever,Over-the-Counter,,2024-03-25,2027-03-17
Cefmet,Antidiabetic,Inhaler,437 mg,Bristol-Myers Squibb Company,Fever,Over-the-Counter,,2022-05-25,2023-07-20
Clarimycin,Antibiotic,Drops,694 mg,"Merck & Co., Inc.",Virus,Prescription,,2020-09-13,2022-09-11
Acetonazole,Antibiotic,Capsule,784 mg,Bristol-Myers Squibb Company,Infection,Prescription,,2024-02-14,2026-11-10
Dextrostatin,Antidepressant,Cream,231 mg,Roche Holding AG,Fungus,Over-the-Counter,,2020-02-24,2023-01-29
Metophen,Antidiabetic,Capsule,404 mg,Novartis AG,Virus,Over-the-Counter,,2023-11-21,2026-07-07
Clarivir,Antidiabetic,Injection,469 mg,Novo Nordisk A/S,Infection,Prescription,,2022-07-28,2025-07-09
Dextrostatin,Antiviral,Syrup,503 mg,Takeda Pharmaceutical Company Limited,Pain,Over-the-Counter,,2022-03-29,2024-02-28
Cefcillin,Antiseptic,Ointment,570 mg,"Gilead Sciences, Inc.",Infection,Over-the-Counter,,2022-05-27,2023-05-28
Acetomycin,Antifungal,Capsule,373 mg,Teva Pharmaceutical Industries Ltd.,Depression,Over-the-Counter,,2020-11-06,2023-01-02
Acetovir,Antibiotic,Injection,446 mg,Bayer AG,Diabetes,Prescription,,2021-11-24,2024-03-11
Amoxinazole,Antidepressant,Tablet,443 mg,Teva Pharmaceutical Industries Ltd.,Wound,Over-the-Counter,,2023-01-09,2024-06-02
Clarimet,Antiseptic,Drops,464 mg,Eli Lilly and Company,Fungus,Over-the-Counter,,2023-05-28,2025-04-17
Ibuprocillin,Antibiotic,Drops,799 mg,Teva Pharmaceutical Industries Ltd.,Depression,Prescription,,2023-01-24,2025-09-02
Dextromet,Analgesic,Cream,527 mg,Biogen Inc.,Infection,Prescription,,2020-02-01,2021-09-17
Dextromycin,Antidiabetic,Capsule,550 mg,Pfizer Inc.,Wound,Prescription,,2020-05-17,2022-02-09
Cefmycin,Antifungal,Inhaler,48 mg,Amgen Inc.,Diabetes,Prescription,,2022-11-08,2025-06-14
Ibupromycin,Antidepressant,Tablet,162 mg,Teva Pharmaceutical Industries Ltd.,Fever,Over-the-Counter,,2022-09-02,2025-05-11
Ibuprophen,Antiviral,Ointment,971 mg,"Merck & Co., Inc.",Fever,Prescription,,2021-05-04,2023-10-07
Cefphen,Analgesic,Tablet,681 mg,"Merck & Co., Inc.",Fever,Prescription,,2020-07-12,2022-04-02
Metomycin,Analgesic,Drops,105 mg,Pfizer Inc.,Infection,Over-the-Counter,,2025-02-26,2027-12-06
Clarimet,Antiseptic,Tablet,17 mg,Biogen Inc.,Pain,Over-the-Counter,,2024-03-08,2025-10-11
Amoxiphen,Antifungal,Tablet,760 mg,Bristol-Myers Squibb Company,Diabetes,Prescription,,2023-03-31,2024-11-08
Ibuprostatin,Antibiotic,Injection,576 mg,Bristol-Myers Squibb Company,Virus,Prescription,,2020-06-02,2022-05-28
Cefnazole,Antidepressant,Capsule,6 mg,Amgen Inc.,Fungus,Prescription,,2021-08-27,2023-06-13
Dolomycin,Antidepressant,Tablet,747 mg,Pfizer Inc.,Fungus,Prescription,,2020-09-17,2022-02-17
Dextrocillin,Antiseptic,Ointment,763 mg,Johnson & Johnson,Depression,Prescription,,2025-02-19,2027-12-31
Ibuproprofen,Antidepressant,Cream,330 mg,CSL Limited,Fungus,Over-the-Counter,,2021-05-28,2023-05-27
Metophen,Antiseptic,Syrup,985 mg,Boehringer Ingelheim GmbH,Infection,Over-the-Counter,,2025-05-25,2026-09-07
Cefphen,Antipyretic,Injection,181 mg,"Gilead Sciences, Inc.",Diabetes,Prescription,,2020-07-27,2023-04-20
Claricillin,Antibiotic,Tablet,430 mg,Teva Pharmaceutical Industries Ltd.,Infection,Prescription,,2020-06-22,2023-01-21
Acetocillin,Antidiabetic,Capsule,657 mg,Johnson & Johnson,Diabetes,Over-the-Counter,,2021-01-08,2022-10-19
Cefmycin,Antidiabetic,Inhaler,589 mg,Sanofi S.A.,Fungus,Prescription,,2023-11-07,2026-06-24
Cefmet,Antidiabetic,Ointment,123 mg,Novartis AG,Wound,Over-the-Counter,,2022-12-02,2025-05-10
Clarivir,Antiseptic,Tablet,275 mg,Biogen Inc.,Fungus,Over-the-Counter,,2023-11-17,2025-05-14
Dolomet,Antidiabetic,Syrup,420 mg,Novo Nordisk A/S,Wound,Over-the-Counter,,2023-09-21,2024-10-28
Ibuprostatin,Antidepressant,Capsule,40 mg,Novartis AG,Fungus,Over-the-Counter,,2023-02-05,2024-11-07
Dolomet,Antipyretic,Inhaler,718 mg,Biogen Inc.,Wound,Over-the-Counter,,2022-03-17,2024-08-09
Acetovir,Antiseptic,Inhaler,984 mg,Johnson & Johnson,Virus,Prescription,,2023-02-01,2024-02-06
Acetovir,Antiviral,Capsule,831 mg,AstraZeneca plc,Wound,Over-the-Counter,,2021-06-17,2022-12-16
Dolovir,Antiviral,Tablet,541 mg,Takeda Pharmaceutical Company Limited,Infection,Over-the-Counter,,2021-06-30,2024-01-02
Metovir,Antiviral,Ointment,816 mg,Bristol-Myers Squibb Company,Infection,Over-the-Counter,,2021-05-26,2024-05-04
Acetoprofen,Antidiabetic,Syrup,955 mg,Bayer AG,Infection,Prescription,,2021-03-08,2024-01-01
Dextrocillin,Antidepressant,Capsule,289 mg,AbbVie Inc.,Depression,Over-the-Counter,,2024-11-30,2026-12-22
Cefmycin,Antipyretic,Syrup,878 mg,CSL Limited,Fungus,Prescription,,2022-08-27,2024-12-11
Amoxiphen,Antidiabetic,Cream,836 mg,Johnson & Johnson,Infection,Prescription,,2022-07-06,2024-10-13
Claristatin,Antiseptic,Ointment,222 mg,Teva Pharmaceutical Industries Ltd.,Diabetes,Prescription,,2024-04-24,2025-07-21
Dextrovir,Antidiabetic,Syrup,219 mg,CSL Limited,Pain,Over-the-Counter,,2023-08-08,2026-01-22
Amoxicillin,Antidiabetic,Tablet,600 mg,Sanofi S.A.,Wound,Over-the-Counter,,2025-01-31,2026-12-08
Ibupromet,Antibiotic,Syrup,83 mg,Bayer AG,Infection,Prescription,,2022-06-20,2024-04-16
Cefcillin,Analgesic,Injection,750 mg,CSL Limited,Diabetes,Over-the-Counter,,2023-03-30,2024-07-26
Cefmet,Antidiabetic,Tablet,897 mg,Boehringer Ingelheim GmbH,Diabetes,Prescription,,2021-07-26,2024-06-20
Ibuproprofen,Antipyretic,Capsule,744 mg,Amgen Inc.,Wound,Over-the-Counter,,2022-04-25,2025-04-11
Ibuprocillin,Antibiotic,Capsule,522 mg,Teva Pharmaceutical Industries Ltd.,Virus,Prescription,,2024-02-25,2026-05-28
Metonazole,Antidepressant,Inhaler,783 mg,CSL Limited,Fungus,Prescription,,2025-01-11,2026-04-10
Doloprofen,Antidepressant,Capsule,460 mg,GlaxoSmithKline plc,Wound,Over-the-Counter,,2023-04-06,2024-07-29
Dextromycin,Analgesic,Ointment,900 mg,Takeda Pharmaceutical Company Limited,Virus,Prescription,,2024-08-20,2027-06-25
Dextromet,Antibiotic,Drops,845 mg,Novartis AG,Infection,Over-the-Counter,,2024-09-04,2026-10-08
Clariprofen,Antiseptic,Capsule,330 mg,Pfizer Inc.,Virus,Over-the-Counter,,2020-05-30,2022-10-11
Cefphen,Antidepressant,Syrup,747 mg,Pfizer Inc.,Depression,Over-the-Counter,,2020-06-15,2023-02-20
Cefcillin,Antifungal,Ointment,204 mg,CSL Limited,Wound,Prescription,,2021-06-02,2024-03-22
Dolomet,Antidiabetic,Syrup,425 mg,"Gilead Sciences, Inc.",Wound,Over-the-Counter,,2021-08-21,2022-12-08
Clarimycin,Antifungal,Cream,833 mg,Teva Pharmaceutical Industries Ltd.,Fungus,Prescription,,2022-05-04,2023-11-19
Dolovir,Antifungal,Inhaler,622 mg,Pfizer Inc.,Diabetes,Prescription,,2023-05-03,2024-12-12
Ibupromycin,Antiviral,Syrup,407 mg,Pfizer Inc.,Infection,Over-the-Counter,,2023-07-27,2026-03-09
